time,name,secret_word,event
2020-07-30 15:52:54 +0700,Duy,receptor,break
2020-07-30 15:54:12 +0700,david,reupholster,lose
2020-07-30 20:15:04 +0700,vu hoang duy,parallelism,lose
2020-07-30 20:54:53 +0700,DUY,faddish,pause
2020-07-30 20:55:09 +0700,David,herculean,pause
2020-07-30 20:55:35 +0700,Vu,shoot,pause
2020-07-31 13:42:42 +0700,Duy,toyonaka,pause
2020-07-31 13:46:58 +0700,david,complainer,pause
2020-07-31 13:49:03 +0700,D,demonstrably,pause
2020-07-31 13:51:31 +0700,Vu,rastafarian,pause
2020-07-31 14:45:17 +0700,duy,pigsty,pause
2020-07-31 14:53:19 +0700,Vu,rastafarian,lose
2020-07-31 15:06:51 +0700,Duy,deistic,pause
2020-07-31 15:11:29 +0700,Duy,folkway,pause
2020-07-31 15:12:15 +0700,duy,pigsty,lose
2020-07-31 15:33:47 +0700,Duy,folkway,break
2020-07-31 15:39:38 +0700,test delete,slyness,pause
2020-07-31 15:40:52 +0700,test delete,slyness,break
2020-07-31 16:13:47 +0700,test delete,slyness,pause
2020-07-31 16:14:23 +0700,test delete,slyness,pause
